timestamp, bears, fish
Sun Feb 14 01:04:35 2016,3,39
Sun Feb 14 01:04:35 2016,3,39
Sun Feb 14 01:04:35 2016,3,39
Sun Feb 14 01:04:35 2016,3,39
Sun Feb 14 01:04:35 2016,3,39
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,40
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,42
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,41
Sun Feb 14 01:04:35 2016,3,42
Sun Feb 14 01:04:35 2016,3,42
Sun Feb 14 01:04:35 2016,3,42
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,3,43
Sun Feb 14 01:04:35 2016,4,43
Sun Feb 14 01:04:35 2016,4,43
Sun Feb 14 01:04:35 2016,4,42
Sun Feb 14 01:04:35 2016,4,42
Sun Feb 14 01:04:35 2016,4,42
Sun Feb 14 01:04:35 2016,4,42
Sun Feb 14 01:04:35 2016,4,42
Sun Feb 14 01:04:35 2016,4,42
Sun Feb 14 01:04:35 2016,4,42
Sun Feb 14 01:04:35 2016,4,42
Sun Feb 14 01:04:35 2016,4,42
Sun Feb 14 01:04:35 2016,4,41
Sun Feb 14 01:04:35 2016,4,41
Sun Feb 14 01:04:35 2016,4,41
Sun Feb 14 01:04:35 2016,4,41
Sun Feb 14 01:04:35 2016,4,41
Sun Feb 14 01:04:35 2016,4,41
Sun Feb 14 01:04:35 2016,4,41
Sun Feb 14 01:04:35 2016,4,42
Sun Feb 14 01:04:35 2016,4,42
Sun Feb 14 01:04:35 2016,5,41
Sun Feb 14 01:04:35 2016,5,41
Sun Feb 14 01:04:35 2016,5,41
Sun Feb 14 01:04:35 2016,5,41
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,40
Sun Feb 14 01:04:35 2016,5,41
